report_date,bank_name,bank_category,record_type,metric,value,unit,data_status
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,atm_offsite,0.0,count,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,atm_onsite,0.0,count,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,bharat_qr,0.0,count,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,cc_atm_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,cc_atm_withdrawal_vol,0.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,cc_ecom_txn_val,0.0,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,cc_ecom_txn_vol,0.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,cc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,cc_other_txn_vol,0.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,cc_pos_txn_val,0.0,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,cc_pos_txn_vol,0.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,credit_cards,0.0,count,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_atm_withdrawal_val,2109481.56409,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_atm_withdrawal_vol,559835.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_ecom_txn_val,39052.83002,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_ecom_txn_vol,29916.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_other_txn_vol,0.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_pos_txn_val,52369.152689999995,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_pos_txn_vol,996740.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_pos_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,dc_pos_withdrawal_vol,0.0,transactions,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,debit_cards,8424873.0,count,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,micro_atms,156986.0,count,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,pos_terminals,0.0,count,provisional
2025-10-31,AIRTEL PAYMENTS BANK,Payment Banks,bank,upi_qr,1182090.0,count,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,atm_offsite,0.0,count,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,atm_onsite,0.0,count,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,bharat_qr,0.0,count,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,cc_atm_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,cc_atm_withdrawal_vol,0.0,transactions,provisional
