date,code,sector,level,parent_code,outstanding_cr,release_date
2024-05-31,T,NBFC Credit,0,,4605927.905390934,2026-05-31
2024-05-31,1,Agriculture and Allied Activities,1,T,64910.23965165963,2026-05-31
2024-05-31,2,Industry,1,T,1855088.2738505476,2026-05-31
2024-05-31,3,Services,1,T,525548.038824318,2026-05-31
2024-05-31,4,Retail Loans,1,T,1834988.627406239,2026-05-31
2024-05-31,5,Other Loans,1,T,325392.7226581697,2026-05-31
2024-05-31,2.1,Infrastructure,2,2,1726258.1673508305,2026-05-31
2024-05-31,3.1,Transport Operators,2,3,143795.00456815987,2026-05-31
2024-05-31,3.2,Trade,2,3,76321.43298089944,2026-05-31
2024-05-31,3.3,Commercial Real Estate,2,3,77443.81864446086,2026-05-31
2024-05-31,4.1,Housing Loans,2,4,715879.1535713817,2026-05-31
2024-05-31,4.2,Vehicle Loans,2,4,462917.22762214474,2026-05-31
2024-05-31,4.3,Loans against gold jewellery,2,4,139847.31025973044,2026-05-31
2024-05-31,4.4,Consumer Durables,2,4,40188.56301834796,2026-05-31
2024-05-31,2.1.1,Power,3,2.1,1181289.4066531274,2026-05-31
2024-06-30,T,NBFC Credit,0,,4668626.057075044,2026-06-30
2024-06-30,1,Agriculture and Allied Activities,1,T,64287.40387143489,2026-06-30
2024-06-30,2,Industry,1,T,1873393.916387607,2026-06-30
2024-06-30,3,Services,1,T,535093.7029354556,2026-06-30
2024-06-30,4,Retail Loans,1,T,1862486.9002126032,2026-06-30
2024-06-30,5,Other Loans,1,T,333364.1336679437,2026-06-30
2024-06-30,2.1,Infrastructure,2,2,1743276.0024028472,2026-06-30
2024-06-30,3.1,Transport Operators,2,3,144231.24379947604,2026-06-30
2024-06-30,3.2,Trade,2,3,78538.66960915428,2026-06-30
2024-06-30,3.3,Commercial Real Estate,2,3,77042.82523821984,2026-06-30
2024-06-30,4.1,Housing Loans,2,4,727060.9835502822,2026-06-30
2024-06-30,4.2,Vehicle Loans,2,4,468408.8161404501,2026-06-30
2024-06-30,4.3,Loans against gold jewellery,2,4,143484.24731801526,2026-06-30
