report_date,statement,code,sector,level,is_priority_sector_memo,parent_code,parent_statement,date,outstanding_cr,source_date
2026-01-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2023-12-31,1991030.054014,2023-12-29
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-01-31,2009098.33619,2024-01-26
2026-03-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-02-29,2032170.572975,2024-02-23
2026-04-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-03-31,2071250.995736,2024-03-22
2026-05-29,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-04-30,2115986.040223,2024-04-19
2026-06-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-05-31,2139044.754272,
2026-01-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-12-31,2239028.099859,2024-12-27
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-01-31,2253510.284899,2025-01-24
2026-03-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-02-28,2264305.11996,2025-02-21
2026-06-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-03-31,2287060.099496,2025-03-21
2026-05-29,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-04-30,2309630.692594,2025-04-18
2026-06-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-05-31,2298801.702105,2025-05-30
2026-01-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-12-31,2509223.947623,
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-01-31,2509788.529016,
2026-03-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-02-28,2543476.7557,
2026-06-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-03-31,2644249.776114,
2026-05-29,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-04-30,2626040.14213,
2026-06-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-05-31,2641483.613083,
2026-01-30,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2023-12-31,3622549.688427,2023-12-29
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2024-01-31,3614409.354535,2024-01-26
2026-03-30,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2024-02-29,3645197.229191,2024-02-23
